Pending to send,Pendiente de enviar,
People at table,Personas en la mesa,
Guest Count,Número de comensales,
Ordered dishes,Platos pedidos,
Table capacity,Capacidad de la mesa,
No rooms configured,No hay ambientes configurados,
No rooms assigned,No tiene ambientes asignados,
Ask a restaurant administrator to assign rooms for {0} in the POS Profile.,Solicite a un administrador del restaurante asignar ambientes para {0} en el perfil POS.,
Create first room,Crear primer ambiente,
Create the first room to start adding tables and production centers for {0}.,Cree el primer ambiente para comenzar a agregar mesas y centros de producción para {0}.,
Ask a restaurant administrator to configure rooms for {0}.,Solicite a un administrador del restaurante configurar los ambientes para {0}.,
Cancel transfer,Cancelar transferencia,
Transfer cancelled,Transferencia cancelada,
Transferring order {0} from {1}. Select the destination table.,Transfiriendo la orden {0} desde {1}. Seleccione la mesa destino.,
Global Discount,Descuento global,
Order total,Total de la orden,
Discounted total,Total con descuento,
Global discount cannot be negative,El descuento global no puede ser negativo,
Global discount percent cannot exceed 100,El porcentaje de descuento global no puede superar 100,
"Use either a discount amount or a discount percent, not both","Use un importe o un porcentaje de descuento, no ambos",
Global discount cannot exceed the order total,El descuento global no puede superar el total de la orden,
The POS Profile does not allow changing discounts,El perfil POS no permite cambiar descuentos,
Preparing account,Preparando cuenta,
Account sent to print bridge ({0}),Cuenta enviada al puente de impresión ({0}),
The account could not be sent to the printer,No se pudo enviar la cuenta a la impresora,
Silent Print is not installed,Silent Print no está instalado,
Configure the pre-account Print Format in Restaurant Company Settings,Configure el formato de pre-cuenta en Restaurant Company Settings,
The pre-account Print Format must belong to Table Order,El formato de pre-cuenta debe pertenecer a Table Order,
The pre-account Print Format is disabled,El formato de pre-cuenta está deshabilitado,
Create a Silent Print Format for {0},Cree un Silent Print Format para {0},
Configure the Print Type in Silent Print Format {0},Configure el Print Type en Silent Print Format {0},
Configure the custom paper width and height for {0},Configure el ancho y alto de papel personalizado para {0},
Configure the Print User in Silent Print Settings,Configure el Print User en Silent Print Settings,
The configured Print User is disabled,El Print User configurado está deshabilitado,
Select the master printer tab before printing,Seleccione la pestaña maestra de impresión antes de imprimir,
The order has no dishes to print,La orden no tiene platos para imprimir,
This operation requires a Production Center,Esta operación requiere un centro de producción,
Configure statuses and item groups for Production Center {0},Configure los estados y grupos de artículos del centro de producción {0},
Not permitted to use Production Center {0},No tiene permiso para usar el centro de producción {0},
Set a default Company before opening Production Center,Configure una empresa predeterminada antes de abrir el centro de producción,
Select at least one kitchen item,Seleccione al menos un plato de cocina,
A maximum of 100 kitchen items can be changed at once,Se pueden cambiar como máximo 100 platos de cocina a la vez,
Status {0} is not managed by this Production Center,El estado {0} no es gestionado por este centro de producción,
One or more kitchen items no longer exist,Uno o más platos de cocina ya no existen,
A kitchen item is outside this Production Center,Un plato no pertenece a este centro de producción,
A kitchen item is outside the active company or POS Profile,Un plato no pertenece a la empresa o al perfil POS activo,
The command changed in another screen. Reloading current data.,La comanda cambió en otra pantalla. Se cargarán los datos actuales.,
Refresh,Actualizar,
Dish consolidation,Consolidación de platos,
Commands,Comandas,
Attended orders,Pedidos atendidos,
Loading production center,Cargando centro de producción,
Production center data could not be loaded,No se pudieron cargar los datos del centro de producción,
Active dishes: {0},Platos activos: {0},
Dishes today: {0},Platos del día: {0},
Prepared today: {0},Realizados hoy: {0},
Commands: {0},Comandas: {0},
Only the most recent production records are shown,Solo se muestran los registros de producción más recientes,
There are no active dishes,No hay platos activos,
There are no dishes today,No hay platos registrados hoy,
Dish,Plato,
Pending,Pendiente,
In preparation,En preparación,
Prepared,Realizados,
Total today,Total del día,
There are no attended orders today,No hay pedidos atendidos hoy,
There are no active commands,No hay comandas activas,
No table,Sin mesa,
Waiter: {0},Mozo: {0},
Status: {0},Estado: {0},
Dishes: {0},Platos: {0},
Start command,Iniciar comanda,
Complete command,Completar comanda,
Deliver command,Entregar comanda,
Mark as delivered,Marcar como entregada,
Advance command,Avanzar comanda,
Attended,Atendido,
Updating command,Actualizando comanda,
Command updated to {0},Comanda actualizada a {0},
Start entire command,Iniciar toda la comanda,
Complete entire command,Completar toda la comanda,
Deliver entire command,Entregar toda la comanda,
Mark command as delivered,Marcar comanda como entregada,
Start dish,Iniciar plato,
Complete dish,Completar plato,
Deliver dish,Entregar plato,
Mark dish as delivered,Marcar plato como entregado,
Advance,Avanzar,
Updating dish,Actualizando plato,
Dish updated to {0},Plato actualizado a {0},
Mixed,Mixto,
Start pending dishes,Iniciar platos pendientes,
Complete pending dishes,Completar platos pendientes,
Deliver pending dishes,Entregar platos pendientes,
Mark pending dishes as delivered,Marcar platos pendientes como entregados,
Advance pending dishes,Avanzar platos pendientes,
Updating pending dishes,Actualizando platos pendientes,
Pending dishes updated to {0},Platos pendientes actualizados a {0},
Restaurant Preparation Time (min),Tiempo de preparación del restaurante (min),
Preparation Target (min),Meta de preparación (min),
Preparation Target Source,Origen de la meta de preparación,
Processing Started At,Inicio de preparación,
Processing Started By,Preparación iniciada por,
Completed At,Finalizado el,
Completed By,Finalizado por,
Waiting Time (min),Tiempo de espera (min),
Preparation Time (min),Tiempo de preparación (min),
Total Time (min),Tiempo total (min),
Average time,Tiempo promedio,
View time details,Ver detalle de tiempos,
Wait {0} min,Espera {0} min,
Prep. {0}/{1} min,Prep. {0}/{1} min,
Prep. {0} min,Prep. {0} min,
Target {0} min,Meta {0} min,
No target,Sin meta,
No timing data,Sin datos de tiempo,
Prep. {0} / Target {1} min,Prep. {0} / Meta {1} min,
Daily average: {0},Promedio diario: {0},
Ordered at,Enviado a cocina,
Processing started at,Inicio de preparación,
Processing started by,Preparación iniciada por,
Completed at,Finalización,
Completed by,Finalizado por,
Waiting time,Tiempo de espera,
Preparation time,Tiempo de preparación,
Total time,Tiempo total,
Preparation target,Meta de preparación,
Difference from target,Diferencia contra la meta,
Target source,Origen de la meta,
Product,Producto,
Product Group,Grupo de productos,
Full screen,Pantalla completa,
Exit full screen,Salir de pantalla completa,
Full screen is not supported by this browser,La pantalla completa no es compatible con este navegador,
Could not enter full screen,No se pudo activar la pantalla completa,
Save changes,Guardar cambios,
Saving dish details,Guardando cambios del plato,
Dish details saved,Cambios del plato guardados,
Line discount percent must be between 0 and 100,El porcentaje de descuento de la línea debe estar entre 0 y 100,
The selected dish no longer exists,El plato seleccionado ya no existe,
The selected dish can no longer be edited,El plato seleccionado ya no puede editarse,
Only unsent dishes can change their discount,Solo los platos no enviados pueden cambiar su descuento,
Performance,Cumplimiento,
On time,Dentro de la meta,
Near target,Cerca del límite,
Over target,Meta excedida,
{0} min,{0} min,
New Customer,Nuevo cliente,
Select an order before creating a customer,Seleccione una orden antes de crear un cliente,
New Customer from DNI/RUC,Nuevo cliente desde DNI/RUC,
DNI or RUC,DNI o RUC,
Enter 8 digits for DNI or 11 digits for RUC,Ingrese 8 dígitos para DNI u 11 dígitos para RUC,
Search,Buscar,
Searching DNI/RUC,Consultando DNI/RUC,
Searching DNI/RUC...,Consultando DNI/RUC...,
Creating and assigning customer,Creando y asignando cliente,
Customer {0} created and assigned,Cliente {0} creado y asignado,
Customer {0} assigned,Cliente {0} asignado,
This customer already exists,Este cliente ya existe,
Customer ID,Código de cliente,
Use Customer,Usar cliente,
The customer registered with this document is disabled,El cliente registrado con este documento está deshabilitado,
No information was found for this DNI/RUC,No se encontró información para este DNI/RUC,
Identity verified. Review the data before creating the customer.,Identidad verificada. Revise los datos antes de crear el cliente.,
Document Type,Tipo de documento,
Customer Name,Nombre o razón social,
Customer Type,Tipo de cliente,
Registered Address,Dirección registrada,
District,Distrito,
Province,Provincia,
Department,Departamento,
Create and Assign,Crear y asignar,
You do not have permission to create customers,No tiene permiso para crear clientes,
DNI must contain 8 digits and RUC must contain 11 digits,El DNI debe contener 8 dígitos y el RUC 11 dígitos,
The DNI/RUC lookup service is unavailable. Please try again.,El servicio de consulta DNI/RUC no está disponible. Intente nuevamente.,
The DNI/RUC lookup service returned an invalid response,El servicio de consulta DNI/RUC devolvió una respuesta inválida,
The DNI/RUC lookup service returned a different document,El servicio de consulta DNI/RUC devolvió un documento diferente,
The DNI/RUC lookup service returned incomplete identity data,El servicio de consulta DNI/RUC devolvió datos de identidad incompletos,
Not permitted to read customers,No tiene permiso para consultar clientes,
Not permitted to create customers,No tiene permiso para crear clientes,
Not permitted to create the customer's registered address,No tiene permiso para crear la dirección registrada del cliente,
A customer with this document already exists,Ya existe un cliente con este documento,
Configure at least one non-group Customer Group before creating customers,Configure al menos un Grupo de clientes que no sea agrupador antes de crear clientes,
Quantity must be at least 1. Use Delete to remove the item.,La cantidad debe ser al menos 1. Use Eliminar para retirar el plato.
Quantity must be a whole number greater than zero,La cantidad debe ser un número entero mayor que cero.
Only unsent dishes can change their quantity,Solo los platos no enviados pueden cambiar su cantidad.
Click again to confirm,Vuelva a presionar para confirmar.
Delete selected dish (press twice),Eliminar plato seleccionado (presione dos veces).
Press Delete again to remove the selected dish,Vuelva a presionar Eliminar para quitar el plato seleccionado.
Dish removed from the order,Plato eliminado de la orden.
Preparing order...,Preparando orden...
The order operation could not be completed,No se pudo completar la operación de la orden.
The order could not be sent to production,No se pudo enviar la orden a producción.
Order source,Origen del pedido
All,Todos
Tables,Mesas
Delivery,Entrega a domicilio
Pickup,Recojo en local
There are no active commands for the selected source,No hay comandas activas para el origen seleccionado.
New,Nuevo
Preparing,Preparando
Ready,Listo
Assigned,Asignado
Out for Delivery,En camino
Delivery Failed,Entrega fallida
Picked Up,Recogido
Picked up,Recogido
New command received,Nueva comanda recibida
A new dish was added,Se agregó un plato nuevo
{0} new dishes were added,Se agregaron {0} platos nuevos
Kitchen sound settings,Configuración de sonido de cocina
Enable sound,Activar sonido
Sound,Sonido
Double bell,Campana doble
Chime,Timbre
Strong alert,Alerta fuerte
Volume (0-100),Volumen (0-100)
Test sound,Probar sonido
Sound off,Sonido apagado
Sound on,Sonido activado
Activate sound,Activar sonido
This browser does not support kitchen sounds,Este navegador no admite sonidos de cocina
{0} new commands received,Se recibieron {0} comandas nuevas
Price not configured,Precio no configurado
Item {0} has no price configured in Price List {1},El producto {0} no tiene un precio configurado en la lista de precios {1}
Restaurant Order Series,Serie de órdenes del restaurante
Table Order Series,Serie de órdenes
Naming series used by new Table Order documents for this company.,Serie utilizada por las nuevas órdenes de esta empresa.
Restaurant document series must be different,Las series de documentos del restaurante deben ser diferentes.
Restaurant series {0} is already assigned to company {1},La serie del restaurante {0} ya está asignada a la empresa {1}.
